hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
1069,349.0,3051.7999999999997,12.0,1
1074,707.0,3049.342857142857,15.957001414427156,3
1075,240.0,3043.2,21.9,1
1076,91.0,3043.2999999999997,14.299999999999999,1
1078,494.0,3020.5004048582996,22.426315789473684,2
1079,3208.0,3048.194233167083,22.031296758104737,13
1080,3059.0,3048.9124223602485,24.98914677999346,15
1082,0.0,,,1
1085,149.0,3022.2,18.2,1
1089,384.0,3028.1999999999994,16.0,1
1110,527.0,3043.2385199240985,22.968121442125238,3
1113,2135.0,3032.794707259953,25.258735362997655,10
1114,2902.0,3048.946691936596,27.27866988283942,17
1115,582.0,3043.2000000000003,20.19896907216495,4
1117,247.0,3021.7,16.7,1
1122,114.0,3028.2,30.0,1
1130,264.0,2980.5,27.5,1
1138,191.0,3051.8,18.3,1
1142,456.0,3051.8,9.9,1
1145,151.0,3043.3,18.4,1
1146,237.0,3031.7,12.5,1
1147,636.0,3010.3999999999996,23.281132075471696,3
1148,3320.0,3022.7443975903616,24.32189759036145,14
1149,2134.0,3031.1325210871596,22.410309278350514,10
1154,182.0,3070.4,17.9,1
1158,455.0,2990.3,18.0,1
1179,323.0,3010.4,19.2,1
1180,246.0,3083.6,17.4,1
1183,356.0,3026.4000000000005,19.2,1
1184,320.0,3050.6,21.4,1
1192,458.0,2990.3,17.0,1
1201,264.0,3056.6,26.5,1
1205,393.0,3031.7,19.1,1
1210,548.0,3083.5999999999995,25.32992700729927,2
1211,648.0,3080.7,16.79814814814815,3
1212,1403.0,3029.3383464005697,20.71575196008553,5
1213,3198.0,3030.3706066291434,22.65440900562852,14
1214,693.0,3050.6,21.513708513708515,3
1228,351.0,3069.3,13.3,1
1231,390.0,3056.6,20.2,1
1238,341.0,3083.5999999999995,27.6,1
1239,1993.0,3082.11435022579,18.052734570998496,8
1240,3035.0,3057.659044481055,20.464217462932453,13
1241,3527.0,3041.6500708817694,21.830394102636802,12
